id,Bar,Street,City,State,Phone,License,id,Name,Street,City,State,Phone,SSN,DriverLicense
12,"Le Mary Céleste","P.O. Box 298, 5458 Nunc Rd.",Huntsville,Alabama,401-640-6068,498082-1021,1505,"Hope Carver","Ap #731-6457 Amet Av.",Tuscaloosa,Alabama,703-321-8603,628-99-09,53D55B6A-4F7D-6484-2B32-75F87AA9E149
103,"Podozritelnye Litsa Bar","336-8523 Congue Road",Tuscaloosa,Alabama,814-337-7688,285412-1965,1505,"Hope Carver","Ap #731-6457 Amet Av.",Tuscaloosa,Alabama,703-321-8603,628-99-09,53D55B6A-4F7D-6484-2B32-75F87AA9E149
108,"SOL AZTECA RESTAURANT","727-6430 Imperdiet Rd.",Tuscaloosa,Alabama,167-661-0191,844222-4211,1505,"Hope Carver","Ap #731-6457 Amet Av.",Tuscaloosa,Alabama,703-321-8603,628-99-09,53D55B6A-4F7D-6484-2B32-75F87AA9E149
173,"THE GREENE TURTLE","805-6530 Arcu. Avenue",Tuscaloosa,Alabama,209-487-8295,806320-3064,1505,"Hope Carver","Ap #731-6457 Amet Av.",Tuscaloosa,Alabama,703-321-8603,628-99-09,53D55B6A-4F7D-6484-2B32-75F87AA9E149
176,"AJI-NIPPON RESTAURANT","595-7677 Fames Av.",Huntsville,Alabama,687-179-4514,102739-1075,1505,"Hope Carver","Ap #731-6457 Amet Av.",Tuscaloosa,Alabama,703-321-8603,628-99-09,53D55B6A-4F7D-6484-2B32-75F87AA9E149
12,"Le Mary Céleste","P.O. Box 298, 5458 Nunc Rd.",Huntsville,Alabama,401-640-6068,498082-1021,1623,"Basil Haley","769-5544 Dui. St.",Mobile,Alabama,230-437-2874,192-47-04,F3617928-91C3-CC69-D124-73B53E7BB8FF
103,"Podozritelnye Litsa Bar","336-8523 Congue Road",Tuscaloosa,Alabama,814-337-7688,285412-1965,1623,"Basil Haley","769-5544 Dui. St.",Mobile,Alabama,230-437-2874,192-47-04,F3617928-91C3-CC69-D124-73B53E7BB8FF
108,"SOL AZTECA RESTAURANT","727-6430 Imperdiet Rd.",Tuscaloosa,Alabama,167-661-0191,844222-4211,1623,"Basil Haley","769-5544 Dui. St.",Mobile,Alabama,230-437-2874,192-47-04,F3617928-91C3-CC69-D124-73B53E7BB8FF
173,"THE GREENE TURTLE","805-6530 Arcu. Avenue",Tuscaloosa,Alabama,209-487-8295,806320-3064,1623,"Basil Haley","769-5544 Dui. St.",Mobile,Alabama,230-437-2874,192-47-04,F3617928-91C3-CC69-D124-73B53E7BB8FF
176,"AJI-NIPPON RESTAURANT","595-7677 Fames Av.",Huntsville,Alabama,687-179-4514,102739-1075,1623,"Basil Haley","769-5544 Dui. St.",Mobile,Alabama,230-437-2874,192-47-04,F3617928-91C3-CC69-D124-73B53E7BB8FF
12,"Le Mary Céleste","P.O. Box 298, 5458 Nunc Rd.",Huntsville,Alabama,401-640-6068,498082-1021,1630,"Kellie Lynch","Ap #835-7114 Tincidunt Road",Tuscaloosa,Alabama,837-456-9757,196-32-04,5342E3E3-338F-CC7D-B11F-A00A9D1BFCCC
