id,Bar,Street,City,State,Phone,License,id,Name,Street,City,State,Phone,SSN,DriverLicense
190,"PERUVIAN COUNTRY CHICKEN & BEER","Ap #893-4993 Gravida. Ave",Fairbanks,Alaska,213-261-6443,443434-1709,1880,"James Conrad","646-6304 Ligula Rd.",Fairbanks,Alaska,990-858-4674,892-86-08,03F8493F-4A85-C71F-EA2C-BF97E7573450
203,SHANGRI'LA,"P.O. Box 767, 8687 Nibh St.",Ketchikan,Alaska,548-323-7696,392381-3350,1880,"James Conrad","646-6304 Ligula Rd.",Fairbanks,Alaska,990-858-4674,892-86-08,03F8493F-4A85-C71F-EA2C-BF97E7573450
221,Eulipia,"2660 A St.",Anchorage,Alaska,136-269-8700,836692-8532,1880,"James Conrad","646-6304 Ligula Rd.",Fairbanks,Alaska,990-858-4674,892-86-08,03F8493F-4A85-C71F-EA2C-BF97E7573450
190,"PERUVIAN COUNTRY CHICKEN & BEER","Ap #893-4993 Gravida. Ave",Fairbanks,Alaska,213-261-6443,443434-1709,1930,"Ramona Macdonald","Ap #991-257 Risus Av.",Juneau,Alaska,440-409-1862,739-47-07,5BFA16F7-FAC4-E950-5B42-CEDE4226DD1A
203,SHANGRI'LA,"P.O. Box 767, 8687 Nibh St.",Ketchikan,Alaska,548-323-7696,392381-3350,1930,"Ramona Macdonald","Ap #991-257 Risus Av.",Juneau,Alaska,440-409-1862,739-47-07,5BFA16F7-FAC4-E950-5B42-CEDE4226DD1A
221,Eulipia,"2660 A St.",Anchorage,Alaska,136-269-8700,836692-8532,1930,"Ramona Macdonald","Ap #991-257 Risus Av.",Juneau,Alaska,440-409-1862,739-47-07,5BFA16F7-FAC4-E950-5B42-CEDE4226DD1A
190,"PERUVIAN COUNTRY CHICKEN & BEER","Ap #893-4993 Gravida. Ave",Fairbanks,Alaska,213-261-6443,443434-1709,2008,"Cyrus Hampton","846-8921 Fermentum St.",Anchorage,Alaska,583-681-7825,311-72-06,6AB22AF9-0F61-CF61-E6D4-6E67522F717F
203,SHANGRI'LA,"P.O. Box 767, 8687 Nibh St.",Ketchikan,Alaska,548-323-7696,392381-3350,2008,"Cyrus Hampton","846-8921 Fermentum St.",Anchorage,Alaska,583-681-7825,311-72-06,6AB22AF9-0F61-CF61-E6D4-6E67522F717F
221,Eulipia,"2660 A St.",Anchorage,Alaska,136-269-8700,836692-8532,2008,"Cyrus Hampton","846-8921 Fermentum St.",Anchorage,Alaska,583-681-7825,311-72-06,6AB22AF9-0F61-CF61-E6D4-6E67522F717F
190,"PERUVIAN COUNTRY CHICKEN & BEER","Ap #893-4993 Gravida. Ave",Fairbanks,Alaska,213-261-6443,443434-1709,2013,"Kenyon Aguirre","Ap #334-9052 Hendrerit. St.",Ketchikan,Alaska,459-920-7062,123-93-03,ACEA0577-A172-0B02-4637-3C606CA466B9
