id,Bar,Street,City,State,Phone,License,id,Name,Street,City,State,Phone,SSN,DriverLicense
125,"THE GREENE TURTLE","Ap #706-512 Odio Street",Glendale,Arizona,557-558-1128,272426-2650,28,"Zephr Holmes","521-7674 Facilisis Road",Chandler,Arizona,218-877-9466,725-27-05,2AE1A76E-4C6F-7F9E-D521-F2E258B3967C
154,"CANA BEER & WINE","Ap #793-5862 Eu, St.",Tucson,Arizona,960-479-8390,192695-6895,28,"Zephr Holmes","521-7674 Facilisis Road",Chandler,Arizona,218-877-9466,725-27-05,2AE1A76E-4C6F-7F9E-D521-F2E258B3967C
125,"THE GREENE TURTLE","Ap #706-512 Odio Street",Glendale,Arizona,557-558-1128,272426-2650,46,"Lynn Watts","6382 Eleifend St.",Chandler,Arizona,667-673-0803,816-44-07,41E8CCB1-B2E5-DAC1-B6E2-EC55FDAE8662
154,"CANA BEER & WINE","Ap #793-5862 Eu, St.",Tucson,Arizona,960-479-8390,192695-6895,46,"Lynn Watts","6382 Eleifend St.",Chandler,Arizona,667-673-0803,816-44-07,41E8CCB1-B2E5-DAC1-B6E2-EC55FDAE8662
125,"THE GREENE TURTLE","Ap #706-512 Odio Street",Glendale,Arizona,557-558-1128,272426-2650,67,"Peter Potts","5076 Elit. Rd.",Glendale,Arizona,404-375-4198,088-61-01,1105F0F5-155F-EA23-9F81-9157779E7781
154,"CANA BEER & WINE","Ap #793-5862 Eu, St.",Tucson,Arizona,960-479-8390,192695-6895,67,"Peter Potts","5076 Elit. Rd.",Glendale,Arizona,404-375-4198,088-61-01,1105F0F5-155F-EA23-9F81-9157779E7781
125,"THE GREENE TURTLE","Ap #706-512 Odio Street",Glendale,Arizona,557-558-1128,272426-2650,72,"Ivy Stanley","Ap #777-5938 Hendrerit Rd.",Tucson,Arizona,611-284-0034,121-29-00,377783EC-FBC0-4883-539B-B7F0E4039CE8
154,"CANA BEER & WINE","Ap #793-5862 Eu, St.",Tucson,Arizona,960-479-8390,192695-6895,72,"Ivy Stanley","Ap #777-5938 Hendrerit Rd.",Tucson,Arizona,611-284-0034,121-29-00,377783EC-FBC0-4883-539B-B7F0E4039CE8
125,"THE GREENE TURTLE","Ap #706-512 Odio Street",Glendale,Arizona,557-558-1128,272426-2650,98,"Deanna Calhoun","P.O. Box 386, 2799 Nisl. Avenue",Glendale,Arizona,922-801-7150,170-38-02,9E26A5B1-408F-B4A6-51A0-98B68108B187
154,"CANA BEER & WINE","Ap #793-5862 Eu, St.",Tucson,Arizona,960-479-8390,192695-6895,98,"Deanna Calhoun","P.O. Box 386, 2799 Nisl. Avenue",Glendale,Arizona,922-801-7150,170-38-02,9E26A5B1-408F-B4A6-51A0-98B68108B187
