id,Bar,Street,City,State,Phone,License,id,Name,Street,City,State,Phone,SSN,DriverLicense
85,"L'Avant Comptoir de la Mer","139-9166 Sociis Rd.",Fayetteville,Arkansas,852-145-9715,972787-2484,5,"Solomon Ratliff","P.O. Box 377, 4676 Arcu. Avenue",Jonesboro,Arkansas,546-950-1691,201-01-01,E00EADAD-DF6F-50F3-CA2C-91C977200350
92,"DOCK OF THE BAY","6134 Non, Rd.","Little Rock",Arkansas,790-526-9983,835167-6583,5,"Solomon Ratliff","P.O. Box 377, 4676 Arcu. Avenue",Jonesboro,Arkansas,546-950-1691,201-01-01,E00EADAD-DF6F-50F3-CA2C-91C977200350
98,"METRO CLUB","P.O. Box 753, 9068 In, Avenue","Little Rock",Arkansas,505-442-3555,289884-2378,5,"Solomon Ratliff","P.O. Box 377, 4676 Arcu. Avenue",Jonesboro,Arkansas,546-950-1691,201-01-01,E00EADAD-DF6F-50F3-CA2C-91C977200350
165,"CRISFIELD SEAFOOD RESTAURANT","P.O. Box 522, 3751 Ut Rd.",Springdale,Arkansas,889-988-7244,195256-6840,5,"Solomon Ratliff","P.O. Box 377, 4676 Arcu. Avenue",Jonesboro,Arkansas,546-950-1691,201-01-01,E00EADAD-DF6F-50F3-CA2C-91C977200350
237,"LA MADELEINE","2848 Tortor Rd.",Fayetteville,Arkansas,693-408-7304,027174-2033,5,"Solomon Ratliff","P.O. Box 377, 4676 Arcu. Avenue",Jonesboro,Arkansas,546-950-1691,201-01-01,E00EADAD-DF6F-50F3-CA2C-91C977200350
85,"L'Avant Comptoir de la Mer","139-9166 Sociis Rd.",Fayetteville,Arkansas,852-145-9715,972787-2484,44,"Clio Sampson","Ap #373-1197 Amet Avenue",Fayetteville,Arkansas,293-734-2169,747-65-06,F5105F91-5059-34D0-5BCF-D52D7563842C
92,"DOCK OF THE BAY","6134 Non, Rd.","Little Rock",Arkansas,790-526-9983,835167-6583,44,"Clio Sampson","Ap #373-1197 Amet Avenue",Fayetteville,Arkansas,293-734-2169,747-65-06,F5105F91-5059-34D0-5BCF-D52D7563842C
98,"METRO CLUB","P.O. Box 753, 9068 In, Avenue","Little Rock",Arkansas,505-442-3555,289884-2378,44,"Clio Sampson","Ap #373-1197 Amet Avenue",Fayetteville,Arkansas,293-734-2169,747-65-06,F5105F91-5059-34D0-5BCF-D52D7563842C
165,"CRISFIELD SEAFOOD RESTAURANT","P.O. Box 522, 3751 Ut Rd.",Springdale,Arkansas,889-988-7244,195256-6840,44,"Clio Sampson","Ap #373-1197 Amet Avenue",Fayetteville,Arkansas,293-734-2169,747-65-06,F5105F91-5059-34D0-5BCF-D52D7563842C
237,"LA MADELEINE","2848 Tortor Rd.",Fayetteville,Arkansas,693-408-7304,027174-2033,44,"Clio Sampson","Ap #373-1197 Amet Avenue",Fayetteville,Arkansas,293-734-2169,747-65-06,F5105F91-5059-34D0-5BCF-D52D7563842C
