TransactionID,Time,Date,Drinker,License,Bar
1,3:12:20,10/22/2018,Gabriel Mckee,417478-9703,TACO BAR
2,15:52:53,1/15/2016,Garth Lamb,417478-9703,TACO BAR
3,5:15:29,1/26/2017,Kareem Thomas,417478-9703,TACO BAR
4,4:33:39,6/16/2017,Andrew Bridges,417478-9703,TACO BAR
5,10:20:10,1/24/2018,Cameron Glover,417478-9703,TACO BAR
6,12:34:13,6/19/2017,Whitney Hale,417478-9703,TACO BAR
7,7:02:29,4/21/2016,Amir Beasley,417478-9703,TACO BAR
8,10:22:21,12/4/2015,Merritt Benson,417478-9703,TACO BAR
9,8:22:51,7/11/2016,Chanda Bolton,417478-9703,TACO BAR
10,19:15:19,4/20/2015,Griffith Chaney,417478-9703,TACO BAR
11,4:56:45,7/2/2018,Daniel King,417478-9703,TACO BAR
12,7:26:35,5/24/2018,Echo Byers,417478-9703,TACO BAR
13,8:11:42,8/9/2016,Naomi Williamson,417478-9703,TACO BAR
14,12:08:43,2/9/2015,Brennan Clemons,417478-9703,TACO BAR
15,4:00:54,5/11/2016,Gemma Espinoza,417478-9703,TACO BAR
16,3:05:58,2/2/2015,Echo Byers,417478-9703,TACO BAR
17,17:05:09,12/29/2017,Cameron Glover,417478-9703,TACO BAR
18,19:22:33,12/4/2017,Cameron Glover,417478-9703,TACO BAR
19,16:25:27,4/14/2017,Griffith Chaney,417478-9703,TACO BAR
20,5:35:50,12/17/2015,Gemma Espinoza,417478-9703,TACO BAR
21,17:07:34,11/18/2015,Fuller Tyler,417478-9703,TACO BAR
22,6:18:43,6/23/2017,Griffith Chaney,417478-9703,TACO BAR
23,10:47:37,4/27/2017,Donna Cantrell,417478-9703,TACO BAR
24,16:37:11,1/23/2015,Connor Peters,417478-9703,TACO BAR
25,15:34:53,6/9/2015,Kaden Gates,417478-9703,TACO BAR
26,4:24:46,12/13/2017,Kasper Wade,417478-9703,TACO BAR
27,6:18:38,6/16/2016,Fuller Tyler,417478-9703,TACO BAR
28,19:42:44,11/16/2017,Debra Cohen,417478-9703,TACO BAR
29,15:06:41,2/22/2016,Rylee George,417478-9703,TACO BAR
30,19:29:49,7/28/2016,Elmo Jefferson,417478-9703,TACO BAR
31,3:01:22,3/3/2015,Amir Beasley,417478-9703,TACO BAR
32,9:52:13,10/9/2017,Cameron Glover,417478-9703,TACO BAR
33,6:10:04,1/1/2018,Jada Lawson,417478-9703,TACO BAR
34,4:29:51,6/6/2017,Zeus Orr,417478-9703,TACO BAR
35,11:05:52,3/20/2015,Sean Rhodes,417478-9703,TACO BAR
36,5:32:44,7/16/2018,Yolanda Puckett,417478-9703,TACO BAR
37,13:25:08,8/10/2017,Ferris Norton,417478-9703,TACO BAR
38,8:42:56,9/12/2017,Omar Dale,417478-9703,TACO BAR
39,15:30:25,1/18/2016,Raya Glover,417478-9703,TACO BAR
40,7:48:52,5/11/2018,Erasmus Short,417478-9703,TACO BAR
41,15:55:16,4/21/2015,Cynthia Cochran,417478-9703,TACO BAR
42,10:50:02,9/25/2018,Jada Wilkins,417478-9703,TACO BAR
43,14:53:31,6/11/2018,Amir Beasley,417478-9703,TACO BAR
44,13:15:07,3/9/2015,Daniel King,417478-9703,TACO BAR
45,19:47:43,2/5/2018,Gillian Cox,417478-9703,TACO BAR
46,13:09:14,8/14/2017,Lael Coffey,417478-9703,TACO BAR
47,12:47:52,10/5/2018,Jared Cash,417478-9703,TACO BAR
48,19:32:28,9/27/2017,Sasha Murphy,417478-9703,TACO BAR
49,7:32:24,1/24/2017,Herman Mcknight,417478-9703,TACO BAR
50,17:35:37,5/18/2016,Jada Wilkins,417478-9703,TACO BAR
