Time,Date,Drinker,BarID,Bar
4:07:16,10/6/2016,Ariana Larson,417478-9703,TACO BAR
10:28:19,2/1/2017,Rafael Chen,417478-9703,TACO BAR
7:08:44,1/6/2017,Brennan Clemons,417478-9703,TACO BAR
19:12:32,2/16/2017,Omar Dale,417478-9703,TACO BAR
7:15:20,11/9/2015,Whitney Manning,417478-9703,TACO BAR
16:50:04,6/16/2015,Bianca Alford,417478-9703,TACO BAR
14:24:06,1/3/2017,Gillian Cox,417478-9703,TACO BAR
4:31:57,6/14/2018,Erasmus Short,417478-9703,TACO BAR
7:59:04,5/23/2017,Rylee George,417478-9703,TACO BAR
11:50:20,8/17/2018,Sean Rhodes,417478-9703,TACO BAR
10:04:28,10/2/2015,Sean Rhodes,417478-9703,TACO BAR
10:18:12,8/27/2015,Griffith Chaney,417478-9703,TACO BAR
17:00:38,4/21/2016,Josiah Gutierrez,417478-9703,TACO BAR
7:09:59,1/11/2018,Erasmus Short,417478-9703,TACO BAR
5:13:22,1/13/2015,Sasha Murphy,417478-9703,TACO BAR
4:51:38,10/26/2018,Veda Luna,417478-9703,TACO BAR
11:05:11,4/20/2015,Herman Mcknight,417478-9703,TACO BAR
10:43:10,4/13/2016,Laurel Forbes,417478-9703,TACO BAR
16:45:21,8/12/2015,Uta Cooley,417478-9703,TACO BAR
3:00:20,7/6/2017,Cameron Glover,417478-9703,TACO BAR
14:54:18,5/15/2015,Bianca Alford,417478-9703,TACO BAR
11:39:21,9/6/2017,Gemma Espinoza,417478-9703,TACO BAR
14:11:49,11/23/2017,Gabriel Mckee,417478-9703,TACO BAR
14:12:44,11/10/2017,Jada Wilkins,417478-9703,TACO BAR
15:50:09,11/30/2018,Carson Lester,417478-9703,TACO BAR
19:30:58,6/8/2017,Cynthia Cochran,417478-9703,TACO BAR
19:10:06,8/13/2018,Gabriel Mckee,417478-9703,TACO BAR
19:17:12,8/9/2016,Omar Dale,417478-9703,TACO BAR
13:17:12,6/9/2015,Cameron Glover,417478-9703,TACO BAR
14:06:26,11/21/2016,Cameron Glover,417478-9703,TACO BAR
9:12:24,2/24/2017,Merritt Benson,417478-9703,TACO BAR
9:36:21,3/16/2018,Rowan Mann,417478-9703,TACO BAR
5:52:43,9/18/2017,Raya Glover,417478-9703,TACO BAR
19:18:59,3/28/2016,Amir Beasley,417478-9703,TACO BAR
9:30:04,8/11/2016,Griffith Chaney,417478-9703,TACO BAR
6:21:03,3/9/2017,Ginger Gallagher,417478-9703,TACO BAR
6:34:51,12/8/2015,Whitney Manning,417478-9703,TACO BAR
14:20:50,7/9/2018,Abbot Wong,417478-9703,TACO BAR
13:07:07,3/17/2015,Derek Stuart,417478-9703,TACO BAR
3:18:08,12/9/2015,Jessamine Parsons,417478-9703,TACO BAR
5:39:00,8/17/2017,Cullen Brooks,417478-9703,TACO BAR
18:43:47,11/8/2017,Cameron Glover,417478-9703,TACO BAR
13:12:16,3/5/2015,Garth Lamb,417478-9703,TACO BAR
16:39:22,12/5/2016,Austin Shaffer,417478-9703,TACO BAR
17:26:09,4/17/2015,Bianca Alford,417478-9703,TACO BAR
3:24:26,1/7/2016,Veda Luna,417478-9703,TACO BAR
15:52:48,7/18/2018,Gabriel Mckee,417478-9703,TACO BAR
13:20:41,2/9/2017,Jared Cash,417478-9703,TACO BAR
19:47:07,9/21/2016,Brennan Clemons,417478-9703,TACO BAR
15:03:09,5/3/2018,Naomi Williamson,417478-9703,TACO BAR
8:48:15,7/11/2016,Regan Rios,417478-9703,TACO BAR
3:46:48,1/11/2016,Derek Stuart,417478-9703,TACO BAR
19:39:07,10/12/2016,Alisa Acevedo,417478-9703,TACO BAR
15:16:32,11/21/2018,Gabriel Mckee,417478-9703,TACO BAR
5:48:30,4/8/2016,Josiah Gutierrez,417478-9703,TACO BAR
4:32:05,2/14/2018,Omar Dale,417478-9703,TACO BAR
5:03:03,1/13/2016,Kevin Cherry,417478-9703,TACO BAR
16:52:24,7/3/2015,Derek Stuart,417478-9703,TACO BAR
7:22:53,11/27/2015,Daniel King,417478-9703,TACO BAR
5:29:02,8/16/2018,Austin Shaffer,417478-9703,TACO BAR
10:38:08,6/3/2015,Whitney Manning,417478-9703,TACO BAR
11:52:59,4/29/2015,Connor Peters,417478-9703,TACO BAR
18:11:51,1/15/2018,Rylee George,417478-9703,TACO BAR
13:12:26,1/13/2015,Jada Wilkins,417478-9703,TACO BAR
4:09:30,5/7/2015,Lael Coffey,417478-9703,TACO BAR
11:00:19,2/22/2018,Quincy Aguirre,417478-9703,TACO BAR
16:27:42,5/16/2017,Fuller Tyler,417478-9703,TACO BAR
11:12:15,7/23/2015,Derek Stuart,417478-9703,TACO BAR
6:54:24,10/27/2017,Jamal Benson,417478-9703,TACO BAR
12:07:06,10/10/2018,Gabriel Mckee,417478-9703,TACO BAR
12:06:39,9/25/2018,Regan Rios,417478-9703,TACO BAR
13:43:49,9/10/2018,Yolanda Puckett,417478-9703,TACO BAR
12:42:56,2/6/2017,Merritt Benson,417478-9703,TACO BAR
18:21:58,6/20/2016,Ginger Gallagher,417478-9703,TACO BAR
4:12:21,5/25/2017,Whitney Hale,417478-9703,TACO BAR
18:51:51,5/3/2016,Whitney Hale,417478-9703,TACO BAR
9:23:43,2/27/2017,Austin Shaffer,417478-9703,TACO BAR
13:05:39,4/10/2015,Rylee George,417478-9703,TACO BAR
18:33:54,2/23/2015,Elmo Jefferson,417478-9703,TACO BAR
12:11:38,4/6/2017,Jared Cash,417478-9703,TACO BAR
14:12:27,8/11/2016,Naomi Williamson,417478-9703,TACO BAR
11:47:37,9/27/2017,Rafael Chen,417478-9703,TACO BAR
19:01:02,8/29/2016,Echo Byers,417478-9703,TACO BAR
11:04:34,2/15/2016,Cullen Brooks,417478-9703,TACO BAR
6:27:12,3/5/2018,Rowan Mann,417478-9703,TACO BAR
4:06:23,9/3/2018,Fuller Tyler,417478-9703,TACO BAR
12:15:30,12/14/2016,Uriel Wynn,417478-9703,TACO BAR
8:24:18,2/8/2016,Fuller Tyler,417478-9703,TACO BAR
16:21:06,7/23/2015,Rafael Chen,417478-9703,TACO BAR
18:21:56,11/5/2018,Veda Luna,417478-9703,TACO BAR
13:39:05,11/4/2016,Cleo Knox,417478-9703,TACO BAR
11:16:43,12/28/2017,Zeus Orr,417478-9703,TACO BAR
17:52:53,1/11/2018,Christine Gordon,417478-9703,TACO BAR
5:06:47,9/10/2018,Rowan Mann,417478-9703,TACO BAR
19:35:24,7/14/2016,Whitney Manning,417478-9703,TACO BAR
15:29:31,5/5/2017,Raya Glover,417478-9703,TACO BAR
19:35:58,8/26/2015,Jamal Benson,417478-9703,TACO BAR
6:24:41,10/30/2015,Odysseus Diaz,122581-2526,ASPEN HILL BAR & GRILL
6:37:38,3/28/2017,Jamal Bowman,122581-2526,ASPEN HILL BAR & GRILL
11:40:07,11/4/2016,Amanda Stafford,122581-2526,ASPEN HILL BAR & GRILL
14:01:10,5/25/2015,Bevis Hunter,122581-2526,ASPEN HILL BAR & GRILL
5:31:53,12/21/2015,Isabella Nixon,122581-2526,ASPEN HILL BAR & GRILL
3:51:54,3/2/2016,Maggie Washington,122581-2526,ASPEN HILL BAR & GRILL
8:23:23,2/3/2016,Peter Gillespie,122581-2526,ASPEN HILL BAR & GRILL
4:18:44,7/26/2018,Colby Delgado,122581-2526,ASPEN HILL BAR & GRILL
5:28:14,9/19/2016,Yasir Best,122581-2526,ASPEN HILL BAR & GRILL
19:46:25,4/27/2017,Penelope Sosa,122581-2526,ASPEN HILL BAR & GRILL
16:02:38,7/24/2017,Bevis Hunter,122581-2526,ASPEN HILL BAR & GRILL
5:50:41,12/27/2017,Joy Crane,122581-2526,ASPEN HILL BAR & GRILL
8:29:55,2/28/2017,Lyle Schmidt,122581-2526,ASPEN HILL BAR & GRILL
9:23:05,1/29/2018,Yasir Best,122581-2526,ASPEN HILL BAR & GRILL
8:06:58,1/25/2017,Charity Lott,122581-2526,ASPEN HILL BAR & GRILL
11:56:03,6/7/2018,Brent Flynn,122581-2526,ASPEN HILL BAR & GRILL
21:25:39,9/20/2018,Bevis Hunter,122581-2526,ASPEN HILL BAR & GRILL
20:03:36,10/3/2017,Jana Roman,122581-2526,ASPEN HILL BAR & GRILL
3:42:31,4/3/2018,Wayne Pena,122581-2526,ASPEN HILL BAR & GRILL
12:00:22,8/25/2017,Patrick Lowery,122581-2526,ASPEN HILL BAR & GRILL
16:26:35,5/20/2016,Garrett Preston,122581-2526,ASPEN HILL BAR & GRILL
17:00:15,6/8/2018,Wayne Pena,122581-2526,ASPEN HILL BAR & GRILL
9:52:26,10/11/2018,Maxine Nicholson,122581-2526,ASPEN HILL BAR & GRILL
9:06:48,9/1/2016,Paul Lee,122581-2526,ASPEN HILL BAR & GRILL
5:28:02,4/1/2016,Wynter Cooke,122581-2526,ASPEN HILL BAR & GRILL
8:53:36,2/3/2017,Jennifer Guy,122581-2526,ASPEN HILL BAR & GRILL
2:09:13,5/17/2018,Knox Nixon,122581-2526,ASPEN HILL BAR & GRILL
13:45:10,10/25/2016,Maxine Nicholson,122581-2526,ASPEN HILL BAR & GRILL
9:12:39,9/15/2015,Ursula Miller,122581-2526,ASPEN HILL BAR & GRILL
21:16:02,6/11/2018,Davis Barlow,122581-2526,ASPEN HILL BAR & GRILL
4:11:46,10/25/2018,Charity Lott,122581-2526,ASPEN HILL BAR & GRILL
12:42:04,5/20/2015,Yasir Best,122581-2526,ASPEN HILL BAR & GRILL
7:24:57,2/23/2017,Alfonso Mercado,122581-2526,ASPEN HILL BAR & GRILL
10:12:46,11/7/2016,Jennifer Guy,122581-2526,ASPEN HILL BAR & GRILL
7:33:26,10/8/2018,Felix Payne,122581-2526,ASPEN HILL BAR & GRILL
14:03:06,6/22/2017,Marah Shaffer,122581-2526,ASPEN HILL BAR & GRILL
18:58:55,2/20/2017,Davis Barlow,122581-2526,ASPEN HILL BAR & GRILL
20:20:57,8/20/2018,Jennifer Guy,122581-2526,ASPEN HILL BAR & GRILL
5:33:55,1/15/2018,Dexter Jefferson,122581-2526,ASPEN HILL BAR & GRILL
8:52:44,8/23/2016,Lucian Abbott,122581-2526,ASPEN HILL BAR & GRILL
19:05:15,3/30/2018,Leilani Gonzalez,122581-2526,ASPEN HILL BAR & GRILL
21:44:41,2/27/2018,Sybill Garrett,122581-2526,ASPEN HILL BAR & GRILL
8:00:56,4/7/2016,Sawyer Fleming,122581-2526,ASPEN HILL BAR & GRILL
4:37:27,3/17/2016,Leilani Gonzalez,122581-2526,ASPEN HILL BAR & GRILL
3:56:29,5/20/2016,Yasir Best,122581-2526,ASPEN HILL BAR & GRILL
4:51:12,4/2/2015,Lionel Cain,122581-2526,ASPEN HILL BAR & GRILL
3:16:53,10/17/2018,Allen Mathis,122581-2526,ASPEN HILL BAR & GRILL
10:36:53,5/18/2017,Alma Shaffer,122581-2526,ASPEN HILL BAR & GRILL
9:11:54,8/17/2017,Tatyana Leblanc,122581-2526,ASPEN HILL BAR & GRILL
11:48:05,8/21/2017,Alfonso Mercado,122581-2526,ASPEN HILL BAR & GRILL
10:43:12,3/5/2018,Joy Crane,122581-2526,ASPEN HILL BAR & GRILL
2:45:10,7/2/2018,Sybill Garrett,122581-2526,ASPEN HILL BAR & GRILL
8:27:58,1/3/2017,Trevor Fisher,122581-2526,ASPEN HILL BAR & GRILL
10:50:54,6/22/2015,Forrest Munoz,122581-2526,ASPEN HILL BAR & GRILL
17:22:24,12/27/2016,Leilani Gonzalez,122581-2526,ASPEN HILL BAR & GRILL
11:25:45,3/18/2015,Philip Carver,122581-2526,ASPEN HILL BAR & GRILL
5:44:58,10/2/2015,Davis Barlow,122581-2526,ASPEN HILL BAR & GRILL
16:39:33,8/6/2015,Sylvester Walter,122581-2526,ASPEN HILL BAR & GRILL
9:24:23,5/12/2016,Yardley Slater,122581-2526,ASPEN HILL BAR & GRILL
15:40:39,6/29/2018,Lionel Cain,122581-2526,ASPEN HILL BAR & GRILL
12:43:27,6/16/2017,Alma Shaffer,122581-2526,ASPEN HILL BAR & GRILL
13:10:44,1/26/2017,Ethan Mcmillan,122581-2526,ASPEN HILL BAR & GRILL
11:21:43,5/15/2015,Alma Shaffer,122581-2526,ASPEN HILL BAR & GRILL
12:42:41,2/11/2015,Paul Lee,122581-2526,ASPEN HILL BAR & GRILL
17:57:49,5/3/2018,Quon Kerr,122581-2526,ASPEN HILL BAR & GRILL
