BillID,Time,Date,SSN,License
1,17:08:23,2017-11-29,318-16-01,417478-9703
2,9:52:24,2015-02-04,708-55-04,417478-9703
3,10:38:50,2015-05-11,580-48-03,417478-9703
4,6:31:20,2016-02-16,606-66-08,417478-9703
5,19:09:57,2016-05-23,618-70-04,417478-9703
6,18:48:19,2018-12-24,535-98-04,417478-9703
7,10:40:49,2016-06-30,871-45-06,417478-9703
8,11:30:38,2016-08-29,317-61-07,417478-9703
9,19:56:59,2016-11-30,359-18-03,417478-9703
10,8:27:04,2015-01-14,747-73-06,417478-9703
11,19:28:37,2018-03-16,051-50-01,417478-9703
12,17:04:26,2016-06-22,581-45-00,417478-9703
13,15:10:20,2018-09-07,182-29-05,417478-9703
14,7:22:42,2016-02-26,060-98-06,417478-9703
15,4:13:25,2018-08-01,631-22-06,417478-9703
16,6:11:57,2017-07-03,081-58-08,417478-9703
17,4:26:28,2017-01-03,533-61-05,417478-9703
18,17:10:50,2018-12-06,796-11-03,417478-9703
19,12:20:52,2018-04-06,871-45-06,417478-9703
20,19:15:46,2018-11-06,318-16-01,417478-9703
21,17:52:35,2017-03-06,631-22-06,417478-9703
22,5:24:49,2015-10-09,192-80-05,417478-9703
23,8:46:03,2016-07-29,318-16-01,417478-9703
24,3:54:31,2016-03-30,284-66-08,417478-9703
25,10:16:48,2015-11-26,878-86-03,417478-9703
26,16:02:33,2017-04-25,074-14-00,417478-9703
27,17:33:00,2018-07-03,074-14-00,417478-9703
28,13:02:47,2016-06-22,665-22-00,417478-9703
29,11:15:04,2018-09-25,775-62-09,417478-9703
30,17:50:56,2015-01-01,783-30-06,417478-9703
31,10:49:18,2015-01-19,610-41-00,417478-9703
32,8:11:15,2017-03-23,093-67-07,417478-9703
33,13:18:40,2016-08-10,144-86-07,417478-9703
34,17:49:37,2017-04-03,488-12-09,417478-9703
35,12:04:56,2016-07-20,572-27-07,417478-9703
36,14:04:47,2017-02-24,577-59-02,417478-9703
37,13:06:24,2015-04-15,747-73-06,417478-9703
38,6:45:10,2018-05-15,796-11-03,417478-9703
39,8:33:18,2015-01-07,347-86-01,417478-9703
40,19:26:32,2018-03-14,610-41-00,417478-9703
41,10:12:24,2017-12-01,774-24-01,417478-9703
42,14:44:29,2016-09-13,871-45-06,417478-9703
43,18:43:57,2016-04-20,036-59-00,417478-9703
44,16:54:29,2017-10-03,610-41-00,417478-9703
45,17:36:16,2015-08-06,317-61-07,417478-9703
