id,Bar,BarState,License,Name,DrinkerState,SSN
1,TACO BAR,New Hampshire,417478-9703,Laurel Forbes,New Hampshire,580-48-03
2,TACO BAR,New Hampshire,417478-9703,Connor Peters,New Hampshire,569-59-09
3,TACO BAR,New Hampshire,417478-9703,Amir Beasley,New Hampshire,775-62-09
4,TACO BAR,New Hampshire,417478-9703,Cleo Knox,New Hampshire,571-10-04
5,TACO BAR,New Hampshire,417478-9703,Yardley Morris,New Hampshire,148-78-02
6,TACO BAR,New Hampshire,417478-9703,Jared Cash,New Hampshire,873-69-00
7,TACO BAR,New Hampshire,417478-9703,Kaden Gates,New Hampshire,732-63-00
8,TACO BAR,New Hampshire,417478-9703,Ariana Larson,New Hampshire,294-10-05
9,TACO BAR,New Hampshire,417478-9703,Elmo Jefferson,New Hampshire,631-22-06
10,TACO BAR,New Hampshire,417478-9703,Bianca Alford,New Hampshire,481-59-04
11,TACO BAR,New Hampshire,417478-9703,Lael Coffey,New Hampshire,747-73-06
12,TACO BAR,New Hampshire,417478-9703,Rylee George,New Hampshire,081-58-08
13,TACO BAR,New Hampshire,417478-9703,Naomi Williamson,New Hampshire,708-55-04
14,TACO BAR,New Hampshire,417478-9703,McKenzie Quinn,New Hampshire,783-14-09
15,TACO BAR,New Hampshire,417478-9703,Jada Lawson,New Hampshire,561-82-06
16,TACO BAR,New Hampshire,417478-9703,Andrew Bridges,New Hampshire,294-05-00
17,TACO BAR,New Hampshire,417478-9703,Quincy Aguirre,New Hampshire,820-07-08
18,TACO BAR,New Hampshire,417478-9703,Ginger Gallagher,New Hampshire,074-14-00
19,TACO BAR,New Hampshire,417478-9703,Cynthia Cochran,New Hampshire,182-29-05
20,TACO BAR,New Hampshire,417478-9703,Craig Elliott,New Hampshire,774-24-01
21,TACO BAR,New Hampshire,417478-9703,Gemma Espinoza,New Hampshire,665-22-00
22,TACO BAR,New Hampshire,417478-9703,Ferris Norton,New Hampshire,137-39-02
23,TACO BAR,New Hampshire,417478-9703,Sage Cunningham,New Hampshire,669-68-05
24,TACO BAR,New Hampshire,417478-9703,Kevin Cherry,New Hampshire,887-07-09
25,TACO BAR,New Hampshire,417478-9703,Rowan Mann,New Hampshire,676-41-09
26,TACO BAR,New Hampshire,417478-9703,Herman Mcknight,New Hampshire,841-60-01
27,TACO BAR,New Hampshire,417478-9703,Kareem Thomas,New Hampshire,783-30-06
28,TACO BAR,New Hampshire,417478-9703,Lucy Walter,New Hampshire,137-52-01
29,TACO BAR,New Hampshire,417478-9703,Gillian Cox,New Hampshire,212-28-06
30,TACO BAR,New Hampshire,417478-9703,Debra Cohen,New Hampshire,318-16-01
31,TACO BAR,New Hampshire,417478-9703,Sean Rhodes,New Hampshire,192-80-05
32,TACO BAR,New Hampshire,417478-9703,Veda Luna,New Hampshire,366-90-01
33,TACO BAR,New Hampshire,417478-9703,Gabriel Mckee,New Hampshire,714-89-09
34,TACO BAR,New Hampshire,417478-9703,Whitney Manning,New Hampshire,049-71-05
35,TACO BAR,New Hampshire,417478-9703,Christine Gordon,New Hampshire,572-27-07
36,TACO BAR,New Hampshire,417478-9703,Jamal Benson,New Hampshire,355-59-01
37,ASPEN HILL BAR & GRILL,Tennessee,122581-2526,Hu Mejia,Tennessee,395-17-07
38,ASPEN HILL BAR & GRILL,Tennessee,122581-2526,Xaviera Mcfarland,Tennessee,618-09-05
39,ASPEN HILL BAR & GRILL,Tennessee,122581-2526,Keelie Barron,Tennessee,324-50-06
40,ASPEN HILL BAR & GRILL,Tennessee,122581-2526,Peter Gillespie,Tennessee,670-33-06
41,ASPEN HILL BAR & GRILL,Tennessee,122581-2526,Channing Buck,Tennessee,653-50-08
42,ASPEN HILL BAR & GRILL,Tennessee,122581-2526,Xena Hartman,Tennessee,733-52-07
43,ASPEN HILL BAR & GRILL,Tennessee,122581-2526,Nigel Donovan,Tennessee,668-07-02
44,ASPEN HILL BAR & GRILL,Tennessee,122581-2526,Sybill Garrett,Tennessee,207-94-03
