SSN,Like
799-38-05,Milestones
612-74-09,Michelob Ultra
461-32-04,Monster
350-72-01,Cheese Buger
201-01-01,Iresh Breakfast
358-45-02,Chicken Pot Pie
055-29-07,Fried Pickles
709-55-05,Corpse Reviver 212
363-33-00,Miller Lite
240-62-09,Wings
602-75-08,Purple Rain
154-31-06,Corpse Reviver 212
645-67-01,Guinness
400-22-03,Fanta
788-49-08,Mountain Dew
530-71-02,Mil’s Best Ice
599-58-05,Farro Salad
162-75-03,Michelob Ultra
846-04-03,Onion rings
321-66-08,Pabst Blue Ribbon
031-98-09,Milestones
359-41-03,Mil’s Best Ice
135-21-08,Fish & Chip
187-65-07,Guinness
685-94-06,Natural Light
658-57-05,Mil’s Best Ice
504-23-07,Bud Light
725-27-05,Natural Ice
778-57-02,Coors Banquet
573-42-05,Sprite
415-79-03,Pastrami Hash
707-71-04,Modelo Especial
573-17-05,Omelet
759-01-09,Mountain Dew
095-30-06,Bulleit 10YR
815-63-07,Chicken Pot Pie
561-90-00,Strawberry Cheesecake
484-75-04,Prosscco
359-18-01,Natural Light
539-39-00,Omelet
216-58-02,Steel Reserve
252-98-00,Omelet
389-33-08,Pastrami Hash
747-65-06,Corpse Reviver 212
194-24-04,Lamb Chops
816-44-07,Bud Light
427-95-08,Chicken Buger
050-40-09,Red
251-45-06,Coca Cola
810-01-05,Purple Rain
580-48-03,Nachos
546-10-06,Sprite
221-42-06,Corona Extra
329-05-08,Corona Light
652-67-04,Miller High Life
445-49-07,Bud Light
449-97-05,Coors Light
343-30-01,Artichoke dip
875-74-00,Snow
134-86-04,Wings
515-29-04,Artichoke dip
808-01-06,Chicken Pot Pie
449-65-00,Pabst Blue Ribbon
289-13-09,Iresh Breakfast
471-82-09,Mello Yello
677-53-06,Lamb Chops
088-61-01,Keystone Light
183-22-03,Mello Yello
195-49-03,Steak
044-52-09,Purple Rain
101-93-09,Mil’s Best Ice
121-29-00,Wings
109-72-08,French Toast
348-47-02,Natural Ice
055-50-00,Modelo Especial
826-94-07,Pabst Blue Ribbon
270-20-05,Red
684-99-04,Yuengling Lager
851-90-07,Snow
166-44-09,Wings
237-49-01,Keystone Light
858-74-03,Chicken Buger
468-24-07,Miller Lite
503-23-09,Monster
369-73-09,Bakers
521-21-08,Miller Lite
505-55-01,Extra Yanjing
834-10-04,French Toast
475-25-07,Quesadillas
