id,Bar,BarState,License,Name,DrinkerState,SSN,YesOrNo
2,ASPEN HILL BAR & GRILL,Tennessee,122581-2526,Allen Mathis,Tennessee,799-38-05,No
28,SAMOVAR,Tennessee,569005-3193,Allen Mathis,Tennessee,799-38-05,No
49,Septime La Cave,Tennessee,207005-7456,Allen Mathis,Tennessee,799-38-05,Yes
86,Bar Italiya,Tennessee,278532-0199,Allen Mathis,Tennessee,799-38-05,Yes
205,Purple Bar at Sanderson,Tennessee,016922-4284,Allen Mathis,Tennessee,799-38-05,Yes
226,Ninetyeight Bar & Lounge,Tennessee,023694-3510,Allen Mathis,Tennessee,799-38-05,Yes
24,PIZZERIA DAMARCO,Washington,443927-4046,Erich Daugherty,Washington,612-74-09,No
96,EL AMATE RESTAURANT,Washington,284564-0263,Erich Daugherty,Washington,612-74-09,No
101,M&BZ,Washington,474140-4315,Erich Daugherty,Washington,612-74-09,Yes
243,BANGKOK GARDEN RESTAURANT,Washington,577007-7120,Erich Daugherty,Washington,612-74-09,No
10,MAMMA LUCIA,Maryland,825954-1152,Eagan Harris,Maryland,461-32-04,No
21,The Shark and Rose,Maryland,385233-3057,Eagan Harris,Maryland,461-32-04,No
32,EL PAISANO,Maryland,269448-6792,Eagan Harris,Maryland,461-32-04,Yes
38,WHEATON WINERY,Maryland,426942-2970,Eagan Harris,Maryland,461-32-04,Yes
82,POSITANO RISTORANTE ITALIANO,Maryland,784026-4704,Eagan Harris,Maryland,461-32-04,Yes
93,MIDWAY PUB,Maryland,589827-6299,Eagan Harris,Maryland,461-32-04,No
15,GOLF ULTRA LOUNGE,Colorado,008054-3713,Katell Gilmore,Colorado,350-72-01,No
45,FOUR U,Colorado,436611-7341,Katell Gilmore,Colorado,350-72-01,Yes
75,TARA THAI,Colorado,514464-4324,Katell Gilmore,Colorado,350-72-01,Yes
148,OLAZZO RESTAURANT,Colorado,544976-6244,Katell Gilmore,Colorado,350-72-01,No
171,BETHESDA CRAB HOUSE,Colorado,789601-4995,Katell Gilmore,Colorado,350-72-01,No
84,L'Avant Comptoir de la Mer,Arkansas,972787-2484,Solomon Ratliff,Arkansas,201-01-01,Yes
91,DOCK OF THE BAY,Arkansas,835167-6583,Solomon Ratliff,Arkansas,201-01-01,Yes
