Name,Bar,License,DrinkerState,BarState
"Leilani Gonzalez","ASPEN HILL BAR & GRILL",122581-2526,Tennessee,Tennessee
"Harrison Odom","ASPEN HILL BAR & GRILL",122581-2526,Tennessee,Tennessee
"Xaviera Mcfarland","ASPEN HILL BAR & GRILL",122581-2526,Tennessee,Tennessee
"Peter Gillespie","ASPEN HILL BAR & GRILL",122581-2526,Tennessee,Tennessee
"Sybill Garrett","ASPEN HILL BAR & GRILL",122581-2526,Tennessee,Tennessee
"Ronan Davenport","ASPEN HILL BAR & GRILL",122581-2526,Tennessee,Tennessee
"Joy Crane","ASPEN HILL BAR & GRILL",122581-2526,Tennessee,Tennessee
"Tucker Hood","ASPEN HILL BAR & GRILL",122581-2526,Tennessee,Tennessee
"Lyle Schmidt","ASPEN HILL BAR & GRILL",122581-2526,Tennessee,Tennessee
"George Morales","ASPEN HILL BAR & GRILL",122581-2526,Tennessee,Tennessee
"Xanthus Velasquez","ASPEN HILL BAR & GRILL",122581-2526,Tennessee,Tennessee
"Wang Gilmore","ASPEN HILL BAR & GRILL",122581-2526,Tennessee,Tennessee
"Marny Hampton","ASPEN HILL BAR & GRILL",122581-2526,Tennessee,Tennessee
"Jana Roman","ASPEN HILL BAR & GRILL",122581-2526,Tennessee,Tennessee
"Kuame Dunlap","ASPEN HILL BAR & GRILL",122581-2526,Tennessee,Tennessee
"Vaughan Meyer","ASPEN HILL BAR & GRILL",122581-2526,Tennessee,Tennessee
"Paul Lee","ASPEN HILL BAR & GRILL",122581-2526,Tennessee,Tennessee
"Ethan Mcmillan","ASPEN HILL BAR & GRILL",122581-2526,Tennessee,Tennessee
"Plato Johns","ASPEN HILL BAR & GRILL",122581-2526,Tennessee,Tennessee
"Lucian Abbott","ASPEN HILL BAR & GRILL",122581-2526,Tennessee,Tennessee
"Reuben Dyer","ASPEN HILL BAR & GRILL",122581-2526,Tennessee,Tennessee
"Yasir Best","ASPEN HILL BAR & GRILL",122581-2526,Tennessee,Tennessee
"Ori Strong","ASPEN HILL BAR & GRILL",122581-2526,Tennessee,Tennessee
"Molly Norton","ASPEN HILL BAR & GRILL",122581-2526,Tennessee,Tennessee
"Bevis Hunter","ASPEN HILL BAR & GRILL",122581-2526,Tennessee,Tennessee
"Maxine Nicholson","ASPEN HILL BAR & GRILL",122581-2526,Tennessee,Tennessee
"Hammett Fitzgerald","ASPEN HILL BAR & GRILL",122581-2526,Tennessee,Tennessee
"Kuame Glover","ASPEN HILL BAR & GRILL",122581-2526,Tennessee,Tennessee
"Asher Howe","ASPEN HILL BAR & GRILL",122581-2526,Tennessee,Tennessee
"Ashely Sanchez","ASPEN HILL BAR & GRILL",122581-2526,Tennessee,Tennessee
"Maris Porter","ASPEN HILL BAR & GRILL",122581-2526,Tennessee,Tennessee
"Zenia Mccarty","ASPEN HILL BAR & GRILL",122581-2526,Tennessee,Tennessee
"Ryan Harmon","ASPEN HILL BAR & GRILL",122581-2526,Tennessee,Tennessee
"Charity Lott","ASPEN HILL BAR & GRILL",122581-2526,Tennessee,Tennessee
"Emerald Lynch","ASPEN HILL BAR & GRILL",122581-2526,Tennessee,Tennessee
"Erin Ferguson","ASPEN HILL BAR & GRILL",122581-2526,Tennessee,Tennessee
"Quon Kerr","ASPEN HILL BAR & GRILL",122581-2526,Tennessee,Tennessee
"Leo Moran","ASPEN HILL BAR & GRILL",122581-2526,Tennessee,Tennessee
"Yeo Collier","ASPEN HILL BAR & GRILL",122581-2526,Tennessee,Tennessee
"Trevor Fisher","ASPEN HILL BAR & GRILL",122581-2526,Tennessee,Tennessee
"Colorado Hill","ASPEN HILL BAR & GRILL",122581-2526,Tennessee,Tennessee
"Alma Shaffer","ASPEN HILL BAR & GRILL",122581-2526,Tennessee,Tennessee
"Abdul Ruiz","ASPEN HILL BAR & GRILL",122581-2526,Tennessee,Tennessee
"Felicia Merrill","ASPEN HILL BAR & GRILL",122581-2526,Tennessee,Tennessee
"Alfonso Mercado","ASPEN HILL BAR & GRILL",122581-2526,Tennessee,Tennessee
"Penelope Sosa","ASPEN HILL BAR & GRILL",122581-2526,Tennessee,Tennessee
"Alfreda Ashley","ASPEN HILL BAR & GRILL",122581-2526,Tennessee,Tennessee
"Gloria Bright","ASPEN HILL BAR & GRILL",122581-2526,Tennessee,Tennessee
"Quinn Stark","ASPEN HILL BAR & GRILL",122581-2526,Tennessee,Tennessee
"Anthony Baldwin","ASPEN HILL BAR & GRILL",122581-2526,Tennessee,Tennessee
"Richard Montoya","Il Fornaio",698268-4422,"New York","New York"
"Kevin Weiss","Il Fornaio",698268-4422,"New York","New York"
"Lesley Mcgowan","Il Fornaio",698268-4422,"New York","New York"
"Alea Yang","Il Fornaio",698268-4422,"New York","New York"
"Adam Roach","Il Fornaio",698268-4422,"New York","New York"
"Hoyt Medina","Il Fornaio",698268-4422,"New York","New York"
"Elliott Alexander","Il Fornaio",698268-4422,"New York","New York"
"Faith Reyes","Il Fornaio",698268-4422,"New York","New York"
"Gail Hatfield","Il Fornaio",698268-4422,"New York","New York"
"Kitra Williams","Il Fornaio",698268-4422,"New York","New York"
"Kermit Obrien","Il Fornaio",698268-4422,"New York","New York"
"Hammett Bradley","Il Fornaio",698268-4422,"New York","New York"
"Erich Meadows","Il Fornaio",698268-4422,"New York","New York"
"Remedios Cunningham","Il Fornaio",698268-4422,"New York","New York"
"Tatum Fry","Il Fornaio",698268-4422,"New York","New York"
"Libby Mccarty","Il Fornaio",698268-4422,"New York","New York"
"Zia Montoya","Il Fornaio",698268-4422,"New York","New York"
"Joel Lawson","Il Fornaio",698268-4422,"New York","New York"
"Amanda Wallace","Il Fornaio",698268-4422,"New York","New York"
"Serena Alford","Il Fornaio",698268-4422,"New York","New York"
"Tallulah Brewer","Il Fornaio",698268-4422,"New York","New York"
"Hop Burns","Il Fornaio",698268-4422,"New York","New York"
"Mollie Wallace","Il Fornaio",698268-4422,"New York","New York"
"Laurel Fulton","Il Fornaio",698268-4422,"New York","New York"
"Bianca Diaz","Il Fornaio",698268-4422,"New York","New York"
"Mason Ford","Il Fornaio",698268-4422,"New York","New York"
"Zoe Terry","Il Fornaio",698268-4422,"New York","New York"
"Ria Donovan","Il Fornaio",698268-4422,"New York","New York"
"Lucian Gallegos","Il Fornaio",698268-4422,"New York","New York"
"Louis Carson","Il Fornaio",698268-4422,"New York","New York"
"Desirae Witt","Il Fornaio",698268-4422,"New York","New York"
"Louis Snyder","Il Fornaio",698268-4422,"New York","New York"
"Walter Holden","Il Fornaio",698268-4422,"New York","New York"
"Clinton Coleman","Il Fornaio",698268-4422,"New York","New York"
"Myles Scott","Il Fornaio",698268-4422,"New York","New York"
"Cameran Barker","Blue Angel",802054-2166,Hawaii,Hawaii
"Quinn Valencia","Blue Angel",802054-2166,Hawaii,Hawaii
"Tad Briggs","Blue Angel",802054-2166,Hawaii,Hawaii
"Sarah Figueroa","Blue Angel",802054-2166,Hawaii,Hawaii
"Ifeoma Kinney","Blue Angel",802054-2166,Hawaii,Hawaii
"Rahim Mason","Blue Angel",802054-2166,Hawaii,Hawaii
"Noel Perry","Blue Angel",802054-2166,Hawaii,Hawaii
"Kenneth Frye","Blue Angel",802054-2166,Hawaii,Hawaii
"Fritz Gutierrez","Blue Angel",802054-2166,Hawaii,Hawaii
"Katell Dunlap","Blue Angel",802054-2166,Hawaii,Hawaii
"Kibo Gregory","Blue Angel",802054-2166,Hawaii,Hawaii
"Remedios Walls","Blue Angel",802054-2166,Hawaii,Hawaii
"Shellie Cruz","Blue Angel",802054-2166,Hawaii,Hawaii
"Daniel Christensen","Blue Angel",802054-2166,Hawaii,Hawaii
"Jesse Franklin","Blue Angel",802054-2166,Hawaii,Hawaii
"Winifred Mccall","Blue Angel",802054-2166,Hawaii,Hawaii
"Kyra Kennedy","Blue Angel",802054-2166,Hawaii,Hawaii
"Brandon Schroeder","Blue Angel",802054-2166,Hawaii,Hawaii
"Medge Johns","Blue Angel",802054-2166,Hawaii,Hawaii
"Griffith Kidd","Blue Angel",802054-2166,Hawaii,Hawaii
"Roth Barnett","Blue Angel",802054-2166,Hawaii,Hawaii
"Lewis Solomon","Blue Angel",802054-2166,Hawaii,Hawaii
"Abigail Watkins","Blue Angel",802054-2166,Hawaii,Hawaii
"Harriet Wheeler","Blue Angel",802054-2166,Hawaii,Hawaii
"Ruby Kelly","Blue Angel",802054-2166,Hawaii,Hawaii
"Ursa Rowe","Blue Angel",802054-2166,Hawaii,Hawaii
"Kareem Sears","Blue Angel",802054-2166,Hawaii,Hawaii
"Melinda Olson","Blue Angel",802054-2166,Hawaii,Hawaii
"Callum Lester","Blue Angel",802054-2166,Hawaii,Hawaii
"Gloria Armstrong","Blue Angel",802054-2166,Hawaii,Hawaii
"Ivy Fields","Blue Angel",802054-2166,Hawaii,Hawaii
"Fritz Cardenas","Blue Angel",802054-2166,Hawaii,Hawaii
"Kareem Black","Blue Angel",802054-2166,Hawaii,Hawaii
"Erin Gallegos","Blue Angel",802054-2166,Hawaii,Hawaii
"Lavinia Best","Blue Angel",802054-2166,Hawaii,Hawaii
"Pamela Woodward","Blue Angel",802054-2166,Hawaii,Hawaii
"Shafira Malone","Blue Angel",802054-2166,Hawaii,Hawaii
"Justine Mcguire","Blue Angel",802054-2166,Hawaii,Hawaii
"Phillip Chaney","Blue Angel",802054-2166,Hawaii,Hawaii
"Valentine Rocha","Blue Angel",802054-2166,Hawaii,Hawaii
"Miranda Anthony","Blue Angel",802054-2166,Hawaii,Hawaii
"Leilani Watkins","Blue Angel",802054-2166,Hawaii,Hawaii
"Jeanette Navarro","Blue Angel",802054-2166,Hawaii,Hawaii
"Larissa Simon","Blue Angel",802054-2166,Hawaii,Hawaii
"Kelsey Miller","Blue Angel",802054-2166,Hawaii,Hawaii
"Honorato Jarvis","Blue Angel",802054-2166,Hawaii,Hawaii
"Dara Solis","Blue Angel",802054-2166,Hawaii,Hawaii
"Michael Delacruz","Blue Angel",802054-2166,Hawaii,Hawaii
"Eric Cooper","Blue Angel",802054-2166,Hawaii,Hawaii
"Yeo Schroeder","Blue Angel",802054-2166,Hawaii,Hawaii
"Mallory Hughes","Blue Tattoo",768883-3750,"New York","New York"
"Kevin Weiss","Blue Tattoo",768883-3750,"New York","New York"
"Fitzgerald Riley","Blue Tattoo",768883-3750,"New York","New York"
"Lesley Mcgowan","Blue Tattoo",768883-3750,"New York","New York"
"Tamekah Johns","Blue Tattoo",768883-3750,"New York","New York"
"Darryl Morse","Blue Tattoo",768883-3750,"New York","New York"
"Alan Hardy","Blue Tattoo",768883-3750,"New York","New York"
"Adam Roach","Blue Tattoo",768883-3750,"New York","New York"
"Hoyt Medina","Blue Tattoo",768883-3750,"New York","New York"
"Elliott Alexander","Blue Tattoo",768883-3750,"New York","New York"
"Faith Reyes","Blue Tattoo",768883-3750,"New York","New York"
"Gail Hatfield","Blue Tattoo",768883-3750,"New York","New York"
"Kermit Obrien","Blue Tattoo",768883-3750,"New York","New York"
"Erich Meadows","Blue Tattoo",768883-3750,"New York","New York"
"Herman Mcfadden","Blue Tattoo",768883-3750,"New York","New York"
"Remedios Cunningham","Blue Tattoo",768883-3750,"New York","New York"
"Tatum Fry","Blue Tattoo",768883-3750,"New York","New York"
"Libby Mccarty","Blue Tattoo",768883-3750,"New York","New York"
"Felix Spence","Blue Tattoo",768883-3750,"New York","New York"
"Abdul Stokes","Blue Tattoo",768883-3750,"New York","New York"
"Brandon Christian","Blue Tattoo",768883-3750,"New York","New York"
"Leandra Potter","Blue Tattoo",768883-3750,"New York","New York"
"Amanda Wallace","Blue Tattoo",768883-3750,"New York","New York"
"Illiana Taylor","Blue Tattoo",768883-3750,"New York","New York"
"Channing Hoffman","Blue Tattoo",768883-3750,"New York","New York"
"Serena Alford","Blue Tattoo",768883-3750,"New York","New York"
"Zenaida Alford","Blue Tattoo",768883-3750,"New York","New York"
"Yardley Henry","Blue Tattoo",768883-3750,"New York","New York"
"Bianca Diaz","Blue Tattoo",768883-3750,"New York","New York"
"Zoe Terry","Blue Tattoo",768883-3750,"New York","New York"
"Ria Donovan","Blue Tattoo",768883-3750,"New York","New York"
"Pearl Vinson","Blue Tattoo",768883-3750,"New York","New York"
"Madison Langley","Blue Tattoo",768883-3750,"New York","New York"
"Teegan Fisher","Blue Tattoo",768883-3750,"New York","New York"
"Yeo Franklin","Blue Tattoo",768883-3750,"New York","New York"
"Clinton Coleman","Blue Tattoo",768883-3750,"New York","New York"
"Katelyn Ochoa","Blue Tattoo",768883-3750,"New York","New York"
"Ignacia Garrett","BROOKVILLE EATERY",405616-0742,Georgia,Georgia
"Kevyn Booker","BROOKVILLE EATERY",405616-0742,Georgia,Georgia
"Wylie Moore","BROOKVILLE EATERY",405616-0742,Georgia,Georgia
"Orli Richard","BROOKVILLE EATERY",405616-0742,Georgia,Georgia
"Irene Blanchard","BROOKVILLE EATERY",405616-0742,Georgia,Georgia
"Hayes Castro","BROOKVILLE EATERY",405616-0742,Georgia,Georgia
"Pearl Callahan","BROOKVILLE EATERY",405616-0742,Georgia,Georgia
"Guy Lucas","BROOKVILLE EATERY",405616-0742,Georgia,Georgia
"Iola Nichols","BROOKVILLE EATERY",405616-0742,Georgia,Georgia
"Aubrey Maxwell","BROOKVILLE EATERY",405616-0742,Georgia,Georgia
"Lacy Bright","BROOKVILLE EATERY",405616-0742,Georgia,Georgia
"Hedwig Rose","BROOKVILLE EATERY",405616-0742,Georgia,Georgia
"Cyrus Vaughn","BROOKVILLE EATERY",405616-0742,Georgia,Georgia
"Leonard Graves","BROOKVILLE EATERY",405616-0742,Georgia,Georgia
"Brent Bradford","BROOKVILLE EATERY",405616-0742,Georgia,Georgia
"Cyrus Herrera","BROOKVILLE EATERY",405616-0742,Georgia,Georgia
"Joel Alston","BROOKVILLE EATERY",405616-0742,Georgia,Georgia
"Gannon Knight","BROOKVILLE EATERY",405616-0742,Georgia,Georgia
"Lara Lyons","BROOKVILLE EATERY",405616-0742,Georgia,Georgia
"Gregory Vargas","BROOKVILLE EATERY",405616-0742,Georgia,Georgia
"Plato Macdonald","BROOKVILLE EATERY",405616-0742,Georgia,Georgia
"Duncan May","BROOKVILLE EATERY",405616-0742,Georgia,Georgia
"Abdul Burgess","BROOKVILLE EATERY",405616-0742,Georgia,Georgia
"Petra Odom","BROOKVILLE EATERY",405616-0742,Georgia,Georgia
"Hall Rosales","BROOKVILLE EATERY",405616-0742,Georgia,Georgia
"Chandler Daniels","BROOKVILLE EATERY",405616-0742,Georgia,Georgia
"Alyssa Morales","BROOKVILLE EATERY",405616-0742,Georgia,Georgia
"Althea Glover","BROOKVILLE EATERY",405616-0742,Georgia,Georgia
"Barclay Shaw","BROOKVILLE EATERY",405616-0742,Georgia,Georgia
"Farrah Bowen","BROOKVILLE EATERY",405616-0742,Georgia,Georgia
"Jaime Velasquez","BROOKVILLE EATERY",405616-0742,Georgia,Georgia
"Shad Perkins","BROOKVILLE EATERY",405616-0742,Georgia,Georgia
"Cameron Mcconnell","BROOKVILLE EATERY",405616-0742,Georgia,Georgia
"Geoffrey Key","BROOKVILLE EATERY",405616-0742,Georgia,Georgia
"Vanna Strong","BROOKVILLE EATERY",405616-0742,Georgia,Georgia
"Todd Hensley","BROOKVILLE EATERY",405616-0742,Georgia,Georgia
"Tyler Wilkinson","BROOKVILLE EATERY",405616-0742,Georgia,Georgia
"Cairo Ramos","BROOKVILLE EATERY",405616-0742,Georgia,Georgia
"Oren Burch","BROOKVILLE EATERY",405616-0742,Georgia,Georgia
"Vaughan Mcneil","BROOKVILLE EATERY",405616-0742,Georgia,Georgia
"Alfreda Vasquez","BROOKVILLE EATERY",405616-0742,Georgia,Georgia
"Garrett Sweeney","BROOKVILLE EATERY",405616-0742,Georgia,Georgia
"Lael Molina","BROOKVILLE EATERY",405616-0742,Georgia,Georgia
"Vincent Kaufman","BROOKVILLE EATERY",405616-0742,Georgia,Georgia
"Eleanor Acosta","BROOKVILLE EATERY",405616-0742,Georgia,Georgia
"Vaughan Mcneil","BROOKVILLE EATERY",405616-0742,Florida,Georgia
"Stella Walter","BROOKVILLE EATERY",405616-0742,Georgia,Georgia
"Edan Petersen","BROOKVILLE EATERY",405616-0742,Georgia,Georgia
"Cullen Kent","BROOKVILLE EATERY",405616-0742,Georgia,Georgia
"Kirestin Cardenas","BROOKVILLE EATERY",405616-0742,Georgia,Georgia
"Jael Hawkins","BROOKVILLE EATERY",405616-0742,Georgia,Georgia
"Kieran Carver","BROOKVILLE EATERY",405616-0742,Georgia,Georgia
"Caryn Kidd","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Britanni Morgan","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Dahlia James","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Thaddeus Lowery","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Sylvester Mcleod","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Dorian Guerra","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Yen Burnett","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Mark Briggs","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Fuller Mcbride","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Victor Kirby","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Maris Cotton","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Arsenio Mcneil","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Garth Daugherty","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Timon Green","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Meghan Stevens","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Yoko Dixon","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Dillon Austin","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Brooke Ortiz","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Signe Best","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Quemby Leach","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Madaline Fox","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Xenos Whitehead","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Rhiannon Guzman","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Yoshio Edwards","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Isadora Burke","GOLF ULTRA LOUNGE",008054-3713,Utah,Colorado
"Nissim Heath","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Griffin Roy","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Destiny Sargent","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Zahir Alston","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Isadora Burke","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Elvis Jacobs","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Donovan Carey","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Robert Carey","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Florence Cote","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Ross Duran","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Leandra Griffith","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
