Name,SSN,Bar,License
"Allen Mathis",799-38-05,SAMOVAR,569005-3193
"Aaron Barker",536-19-06,"ADDISU GEBEYA",659375-5835
"Aaron Barker",536-19-06,"St. George's Tavern",922270-1568
"Aaron Bond",763-25-06,"OLAZZO RESTAURANT",544976-6244
"Aaron Chang",292-90-03,"A.P. Stump's",MA12347
"Aaron Chang",292-90-03,"SIU'S ASIAN BISTRO",647562-0404
"Aaron Chang",292-90-03,"The Ship and Whale",986328-7539
"Aaron Lewis",326-43-03,"TWINBROOK BAR",792185-8796
"Aaron Lewis",326-43-03,"L’avant comptoir du marché",508969-5034
"Aaron Thompson",308-63-02,"SENOR TEQUILA'S",744864-1998
"Aaron Thompson",308-63-02,"THE QUARRY HOUSE TAVERN",906351-1597
"Aaron Weiss",567-44-09,"The Allsop Arms",705990-6557
"Aaron Weiss",567-44-09,Beerodrom,005882-9151
"Aaron Weiss",567-44-09,"Yan Primus",255119-6765
"Abbot Estes",724-34-02,"Beertep Craft Pub",052726-7009
"Abbot Estes",724-34-02,"UNPLUGGED SPORT BAR & RESTAURA",703500-7595
"Abbot Estes",724-34-02,"LONGHORN STEAKHOUSE",039890-9002
"Abbot Rivers",860-09-01,"Belowzero Ice Bar",679007-3636
"Abbot Rivers",860-09-01,"The Coral Room",336670-1716
"Abbot Rivers",860-09-01,"WATERSHED CAFE",668344-5222
"Abbot Velasquez",752-55-09,SAMANTHA'S,065321-9717
"Abbot Velasquez",752-55-09,"Bar Hemingway",573547-0154
"Abbot Velasquez",752-55-09,"NEWS EXPRESS",615857-5438
"Abbot Waller",262-63-01,"NEWS EXPRESS",615857-5438
"Abbot Waller",262-63-01,"OLNEY ALE HOUSE",103007-8750
"Abbot Wong",269-13-00,"TACO BAR",417478-9703
"Abbot Wong",269-13-00,"PARTY TIME LOUNGE",513075-0960
"Abbot Wong",269-13-00,"CUBA DE AYER",746894-2946
"Abdul Briggs",564-07-07,"The B-Hive",159927-7181
"Abdul Burgess",740-88-07,"BROOKVILLE EATERY",405616-0742
"Abdul Burgess",740-88-07,"MAPLE BEER AND WINE",624171-7682
"Abdul Burgess",740-88-07,"PETER'S GRILL",567033-1627
"Abdul Burgess",740-88-07,"Hedley Club",627764-8355
"Abdul Logan",479-69-03,"The B-Hive",159927-7181
"Abdul Pope",830-55-09,Neko,097147-8367
"Abdul Pope",830-55-09,"SHALOM STRICTLY KOSHER MEATS",077097-3972
"Abdul Pope",830-55-09,"SOUTHLAWN RESTAURANT",558375-0236
"Abdul Pope",830-55-09,Artesian,023683-4925
"Abdul Pope",830-55-09,"Brass Monkey",704506-9023
"Abdul Ruiz",102-99-01,"ASPEN HILL BAR & GRILL",122581-2526
"Abdul Ruiz",102-99-01,SAMOVAR,569005-3193
"Abdul Ruiz",102-99-01,"Septime La Cave",207005-7456
"Abdul Ruiz",102-99-01,"Bar Italiya",278532-0199
"Abdul Snider",827-69-06,"STAINED GLASS PUB",033215-5373
"Abdul Snider",827-69-06,"The Wigmore",785196-5934
"Abdul Snider",827-69-06,"CLUB 175",843001-5555
"Abdul Stokes",821-24-00,"Blue Tattoo",768883-3750
"Abdul Stokes",821-24-00,"CRISTINA'S ITALIAN RISTORANTE",944800-8871
"Abel Barnes",811-49-08,"HANARO RESTAURANT AND LOUNGE",367303-7044
"Abel Barnes",811-49-08,"The DrumLeyton",855299-2110
"Abel Barnes",811-49-08,"MIDDLE EAST CUISINE",682135-2579
"Abel Black",040-52-04,"L'Avant Comptoir de la Mer",972787-2484
"Abel Black",040-52-04,"LA MADELEINE",027174-2033
"Abel Pace",729-12-00,Moonshiner,807305-7500
"Abel Pace",729-12-00,"SHALOM STRICTLY KOSHER MEATS",077097-3972
"Abel Pace",729-12-00,"SOUTHLAWN RESTAURANT",558375-0236
"Abel Pace",729-12-00,"BACCHUS OF LEBANON",397549-9173
"Abel Pace",729-12-00,"Brass Monkey",704506-9023
"Abel Pollard",344-83-00,"PIZZERIA DAMARCO",443927-4046
"Abel Pollard",344-83-00,"EL AMATE RESTAURANT",284564-0263
"Abel Pollard",344-83-00,"BANGKOK GARDEN RESTAURANT",577007-7120
"Abigail Collier",415-32-05,"RUSSIAN GOURMET",635427-3838
"Abigail Collier",415-32-05,"PINES OF ROME",012827-6557
"Abigail Terry",177-23-06,"PETERS CARRY OUT",825935-7435
"Abigail Terry",177-23-06,CUBANO'S,284560-8641
"Abigail Terry",177-23-06,"THE QUARRY HOUSE TAVERN",906351-1597
"Abigail Watkins",635-50-09,"Blue Angel",802054-2166
"Abigail Watkins",635-50-09,"BARREL & CROW",938023-9690
"Abra Avila",065-65-08,Respublika,457966-5128
"Abra Avila",065-65-08,"Long Bar",395573-9457
"Abra Rosa",897-04-07,"GOURMET PUB",238323-5054
"Abraham Adkins",877-28-08,"EL ANDARIEGO",822937-5764
"Abraham Adkins",877-28-08,"Castor Club",812147-3998
"Abraham Adkins",877-28-08,"Winil Wine Bar",348656-7617
"Abraham Adkins",877-28-08,"Molly Gwynn's",408783-4273
"Abraham Adkins",877-28-08,"Ye Olde Mitre",379956-5316
"Abraham Adkins",877-28-08,"Gecko Grill",446219-2628
"Abraham Christensen",514-10-03,"SPRING BEER HOUSE",556027-9498
"Abraham Christensen",514-10-03,Bruxelles,935080-2824
"Abraham Christensen",514-10-03,"SEOULFOOD DC",328119-7933
"Abraham Craig",653-29-08,SAMANTHA'S,065321-9717
"Abraham Craig",653-29-08,"NEWS EXPRESS",615857-5438
"Abraham Craig",653-29-08,"OLNEY ALE HOUSE",103007-8750
"Abraham Guy",764-50-07,"CHOICE ",075626-4206
"Abraham Watson",719-59-09,"SOL AZTECA RESTAURANT",844222-4211
"Abraham Watson",719-59-09,"THE GREENE TURTLE-Ab",806320-3064
"Acton Gibson",536-57-00,"Seven Bamboo",759258-8235
"Acton Gibson",536-57-00,"Le Syndicat",555889-1650
"Acton Gibson",536-57-00,"HANARO RESTAURANT AND LOUNGE",367303-7044
"Acton Gibson",536-57-00,"HOP N GRAPE",197460-5337
"Acton Horn",129-74-07,"L'Avant Comptoir de la Mer",972787-2484
"Acton Horn",129-74-07,"DOCK OF THE BAY",835167-6583
